group,indicator,cid,method,value
ablation,Spread,C19,w/o Graph,0.708698
ablation,Spread,C20,HCMAGRL,0.740859
ablation,Spread,C20,w/o EdgeAttn,0.355087
ablation,Spread,C20,w/o Hierarchy,0.353139
ablation,Spread,C20,w/o Heterogeneity,0.573611
ablation,Spread,C20,w/o Graph,0.543053
ablation,Spread,C21,HCMAGRL,0.667253
ablation,Spread,C21,w/o EdgeAttn,0.671724
ablation,Spread,C21,w/o Hierarchy,0.596747
ablation,Spread,C21,w/o Heterogeneity,0.307971
ablation,Spread,C21,w/o Graph,0.871961
ablation,Spread,C22,HCMAGRL,0.261944
ablation,Spread,C22,w/o EdgeAttn,0.600097
ablation,Spread,C22,w/o Hierarchy,0.694832
ablation,Spread,C22,w/o Heterogeneity,0.0
ablation,Spread,C22,w/o Graph,0.104903
ablation,Spread,C23,HCMAGRL,0.4735
ablation,Spread,C23,w/o EdgeAttn,0.974653
ablation,Spread,C23,w/o Hierarchy,0.549171
ablation,Spread,C23,w/o Heterogeneity,0.940539
ablation,Spread,C23,w/o Graph,0.421835
ablation,Spread,C24,HCMAGRL,0.716631
ablation,Spread,C24,w/o EdgeAttn,0.482683
ablation,Spread,C24,w/o Hierarchy,1.051659
ablation,Spread,C24,w/o Heterogeneity,0.863632
ablation,Spread,C24,w/o Graph,0.710572
ablation,Spread,C25,HCMAGRL,0.426201
ablation,Spread,C25,w/o EdgeAttn,0.284109
ablation,Spread,C25,w/o Hierarchy,0.353455
ablation,Spread,C25,w/o Heterogeneity,0.184738
ablation,Spread,C25,w/o Graph,0.189161
ablation,Spread,C26,HCMAGRL,0.780794
ablation,Spread,C26,w/o EdgeAttn,0.74847
ablation,Spread,C26,w/o Hierarchy,0.79035
ablation,Spread,C26,w/o Heterogeneity,0.696541
ablation,Spread,C26,w/o Graph,0.598203
ablation,Spread,C27,HCMAGRL,0.65575
ablation,Spread,C27,w/o EdgeAttn,0.52537
ablation,Spread,C27,w/o Hierarchy,0.655703
ablation,Spread,C27,w/o Heterogeneity,0.838204
ablation,Spread,C27,w/o Graph,0.72572
ablation,HV,C1,HCMAGRL,0.926193
ablation,HV,C1,w/o EdgeAttn,0.926193
ablation,HV,C1,w/o Hierarchy,0.911313
ablation,HV,C1,w/o Heterogeneity,0.913064
ablation,HV,C1,w/o Graph,0.918315
ablation,HV,C2,HCMAGRL,0.944935
ablation,HV,C2,w/o EdgeAttn,1.0
ablation,HV,C2,w/o Hierarchy,0.890866
ablation,HV,C2,w/o Heterogeneity,0.992353
ablation,HV,C2,w/o Graph,1.0
ablation,HV,C3,HCMAGRL,0.991626
ablation,HV,C3,w/o EdgeAttn,0.845223
ablation,HV,C3,w/o Hierarchy,0.691228
ablation,HV,C3,w/o Heterogeneity,0.934688
ablation,HV,C3,w/o Graph,0.806176
ablation,HV,C4,HCMAGRL,0.995821
ablation,HV,C4,w/o EdgeAttn,1.0
ablation,HV,C4,w/o Hierarchy,0.979403
ablation,HV,C4,w/o Heterogeneity,0.995821
ablation,HV,C4,w/o Graph,1.0
ablation,HV,C5,HCMAGRL,0.995503
ablation,HV,C5,w/o EdgeAttn,0.85534
ablation,HV,C5,w/o Hierarchy,0.857742
ablation,HV,C5,w/o Heterogeneity,0.917048
ablation,HV,C5,w/o Graph,0.905414
ablation,HV,C6,HCMAGRL,0.968285
ablation,HV,C6,w/o EdgeAttn,0.990372
ablation,HV,C6,w/o Hierarchy,0.896943
ablation,HV,C6,w/o Heterogeneity,0.984342
ablation,HV,C6,w/o Graph,0.986955
ablation,HV,C7,HCMAGRL,0.895871
ablation,HV,C7,w/o EdgeAttn,0.889248
ablation,HV,C7,w/o Hierarchy,0.942577
ablation,HV,C7,w/o Heterogeneity,0.873524
ablation,HV,C7,w/o Graph,0.905285
ablation,HV,C8,HCMAGRL,0.984822
ablation,HV,C8,w/o EdgeAttn,0.993228
ablation,HV,C8,w/o Hierarchy,0.921237
ablation,HV,C8,w/o Heterogeneity,0.998265
ablation,HV,C8,w/o Graph,0.89445
ablation,HV,C9,HCMAGRL,0.961898
ablation,HV,C9,w/o EdgeAttn,0.944525
ablation,HV,C9,w/o Hierarchy,0.852513
ablation,HV,C9,w/o Heterogeneity,0.904807
ablation,HV,C9,w/o Graph,0.901268
ablation,HV,C10,HCMAGRL,1.0
ablation,HV,C10,w/o EdgeAttn,1.0
ablation,HV,C10,w/o Hierarchy,1.0
ablation,HV,C10,w/o Heterogeneity,1.0
ablation,HV,C10,w/o Graph,1.0
ablation,HV,C11,HCMAGRL,0.997665
ablation,HV,C11,w/o EdgeAttn,1.0
ablation,HV,C11,w/o Hierarchy,0.999315
ablation,HV,C11,w/o Heterogeneity,0.994079
ablation,HV,C11,w/o Graph,0.998373
ablation,HV,C12,HCMAGRL,0.998214
ablation,HV,C12,w/o EdgeAttn,1.0
ablation,HV,C12,w/o Hierarchy,0.965319
ablation,HV,C12,w/o Heterogeneity,0.967906
ablation,HV,C12,w/o Graph,0.968791
ablation,HV,C13,HCMAGRL,0.99585
ablation,HV,C13,w/o EdgeAttn,0.989036
ablation,HV,C13,w/o Hierarchy,0.989225
ablation,HV,C13,w/o Heterogeneity,0.989569
ablation,HV,C13,w/o Graph,0.991834
ablation,HV,C14,HCMAGRL,0.827748
ablation,HV,C14,w/o EdgeAttn,0.906623
ablation,HV,C14,w/o Hierarchy,0.972181
ablation,HV,C14,w/o Heterogeneity,0.886358
ablation,HV,C14,w/o Graph,0.915438
ablation,HV,C15,HCMAGRL,0.900085
ablation,HV,C15,w/o EdgeAttn,0.865935
ablation,HV,C15,w/o Hierarchy,0.849871
ablation,HV,C15,w/o Heterogeneity,0.935012
ablation,HV,C15,w/o Graph,0.840212
ablation,HV,C16,HCMAGRL,0.963171
ablation,HV,C16,w/o EdgeAttn,0.976863
ablation,HV,C16,w/o Hierarchy,0.886597
ablation,HV,C16,w/o Heterogeneity,0.964062
ablation,HV,C16,w/o Graph,0.971074
ablation,HV,C17,HCMAGRL,0.995001
ablation,HV,C17,w/o EdgeAttn,0.858731
ablation,HV,C17,w/o Hierarchy,0.917424
ablation,HV,C17,w/o Heterogeneity,0.990781
ablation,HV,C17,w/o Graph,0.983293
ablation,HV,C18,HCMAGRL,0.9855
ablation,HV,C18,w/o EdgeAttn,0.923862
ablation,HV,C18,w/o Hierarchy,0.896559
ablation,HV,C18,w/o Heterogeneity,0.964634
ablation,HV,C18,w/o Graph,0.98499
ablation,HV,C19,HCMAGRL,0.971258
ablation,HV,C19,w/o EdgeAttn,0.961269
ablation,HV,C19,w/o Hierarchy,0.894164
ablation,HV,C19,w/o Heterogeneity,0.935766
ablation,HV,C19,w/o Graph,0.977672
ablation,HV,C20,HCMAGRL,0.909498
ablation,HV,C20,w/o EdgeAttn,0.901539
ablation,HV,C20,w/o Hierarchy,0.910532
ablation,HV,C20,w/o Heterogeneity,0.879802
ablation,HV,C20,w/o Graph,0.96231
ablation,HV,C21,HCMAGRL,0.928383
ablation,HV,C21,w/o EdgeAttn,0.88737
ablation,HV,C21,w/o Hierarchy,0.914656
ablation,HV,C21,w/o Heterogeneity,0.984929
ablation,HV,C21,w/o Graph,0.894228
ablation,HV,C22,HCMAGRL,0.994443
ablation,HV,C22,w/o EdgeAttn,0.984147
ablation,HV,C22,w/o Hierarchy,0.98189
ablation,HV,C22,w/o Heterogeneity,0.94201
ablation,HV,C22,w/o Graph,0.989844
ablation,HV,C23,HCMAGRL,0.968855
ablation,HV,C23,w/o EdgeAttn,0.885239
ablation,HV,C23,w/o Hierarchy,0.868189
ablation,HV,C23,w/o Heterogeneity,0.951346
ablation,HV,C23,w/o Graph,0.924707
ablation,HV,C24,HCMAGRL,0.872289
ablation,HV,C24,w/o EdgeAttn,0.875192
ablation,HV,C24,w/o Hierarchy,0.949635
ablation,HV,C24,w/o Heterogeneity,0.785922
ablation,HV,C24,w/o Graph,0.813829
ablation,HV,C25,HCMAGRL,0.89783
ablation,HV,C25,w/o EdgeAttn,0.926288
ablation,HV,C25,w/o Hierarchy,0.888076
ablation,HV,C25,w/o Heterogeneity,0.942725
ablation,HV,C25,w/o Graph,0.984599
ablation,HV,C26,HCMAGRL,0.960224
ablation,HV,C26,w/o EdgeAttn,0.911625
ablation,HV,C26,w/o Hierarchy,0.972002
ablation,HV,C26,w/o Heterogeneity,0.933147
ablation,HV,C26,w/o Graph,0.924895
ablation,HV,C27,HCMAGRL,0.968492
ablation,HV,C27,w/o EdgeAttn,0.956347
ablation,HV,C27,w/o Hierarchy,0.96641
ablation,HV,C27,w/o Heterogeneity,0.921912
ablation,HV,C27,w/o Graph,0.963519
