group,indicator,cid,method,value
rl,Spread,C1,HCMAGRL,0.0
rl,Spread,C1,DDQN,0.0
rl,Spread,C1,EDQN,0.0
rl,Spread,C1,SAC,0.454882
rl,Spread,C1,D-DRL,0.0
rl,Spread,C2,HCMAGRL,0.0
rl,Spread,C2,DDQN,0.0
rl,Spread,C2,EDQN,0.0
rl,Spread,C2,SAC,0.0
rl,Spread,C2,D-DRL,0.0
rl,Spread,C3,HCMAGRL,0.090581
rl,Spread,C3,DDQN,0.853185
rl,Spread,C3,EDQN,0.743764
rl,Spread,C3,SAC,0.734571
rl,Spread,C3,D-DRL,0.794327
rl,Spread,C4,HCMAGRL,0.0
rl,Spread,C4,DDQN,0.0
rl,Spread,C4,EDQN,0.0
rl,Spread,C4,SAC,0.0
rl,Spread,C4,D-DRL,0.0
rl,Spread,C5,HCMAGRL,0.493855
rl,Spread,C5,DDQN,0.615741
rl,Spread,C5,EDQN,0.613766
rl,Spread,C5,SAC,0.950498
rl,Spread,C5,D-DRL,0.943503
rl,Spread,C6,HCMAGRL,0.559476
rl,Spread,C6,DDQN,0.929162
rl,Spread,C6,EDQN,0.521648
rl,Spread,C6,SAC,0.861686
rl,Spread,C6,D-DRL,0.994757
rl,Spread,C7,HCMAGRL,0.220478
rl,Spread,C7,DDQN,0.391128
rl,Spread,C7,EDQN,0.391128
rl,Spread,C7,SAC,0.783214
rl,Spread,C7,D-DRL,0.552156
rl,Spread,C8,HCMAGRL,0.094635
rl,Spread,C8,DDQN,0.940947
rl,Spread,C8,EDQN,0.940947
rl,Spread,C8,SAC,0.0
rl,Spread,C8,D-DRL,0.901044
rl,Spread,C9,HCMAGRL,0.0
rl,Spread,C9,DDQN,0.926935
rl,Spread,C9,EDQN,0.0
rl,Spread,C9,SAC,0.912614
rl,Spread,C9,D-DRL,0.637445
rl,Spread,C10,HCMAGRL,0.0
rl,Spread,C10,DDQN,0.0
rl,Spread,C10,EDQN,0.0
rl,Spread,C10,SAC,0.0
rl,Spread,C10,D-DRL,0.0
rl,Spread,C11,HCMAGRL,0.0
rl,Spread,C11,DDQN,0.0
rl,Spread,C11,EDQN,0.0
rl,Spread,C11,SAC,0.0
rl,Spread,C11,D-DRL,0.0
rl,Spread,C12,HCMAGRL,0.0
rl,Spread,C12,DDQN,0.0
rl,Spread,C12,EDQN,0.0
rl,Spread,C12,SAC,0.0
rl,Spread,C12,D-DRL,0.0
rl,Spread,C13,HCMAGRL,0.496628
rl,Spread,C13,DDQN,0.592767
rl,Spread,C13,EDQN,0.592767
rl,Spread,C13,SAC,0.620898
rl,Spread,C13,D-DRL,0.769858
rl,Spread,C14,HCMAGRL,0.76678
rl,Spread,C14,DDQN,0.805355
rl,Spread,C14,EDQN,0.801531
rl,Spread,C14,SAC,0.774916
rl,Spread,C14,D-DRL,0.768639
rl,Spread,C15,HCMAGRL,0.515108
rl,Spread,C15,DDQN,0.781124
rl,Spread,C15,EDQN,0.726953
rl,Spread,C15,SAC,0.871797
rl,Spread,C15,D-DRL,0.644655
rl,Spread,C16,HCMAGRL,0.746964
rl,Spread,C16,DDQN,0.520151
rl,Spread,C16,EDQN,0.520151
rl,Spread,C16,SAC,0.517
rl,Spread,C16,D-DRL,0.495522
rl,Spread,C17,HCMAGRL,0.677083
rl,Spread,C17,DDQN,0.744112
rl,Spread,C17,EDQN,0.801165
rl,Spread,C17,SAC,0.807528
rl,Spread,C17,D-DRL,0.637173
rl,Spread,C18,HCMAGRL,0.61902
rl,Spread,C18,DDQN,0.0
rl,Spread,C18,EDQN,0.882825
rl,Spread,C18,SAC,0.898308
rl,Spread,C18,D-DRL,0.591366
rl,Spread,C19,HCMAGRL,0.834371
rl,Spread,C19,DDQN,0.0
rl,Spread,C19,EDQN,0.0
rl,Spread,C19,SAC,0.739488
rl,Spread,C19,D-DRL,0.0
rl,Spread,C20,HCMAGRL,0.740859
rl,Spread,C20,DDQN,0.760357
rl,Spread,C20,EDQN,0.760357
rl,Spread,C20,SAC,0.896559
rl,Spread,C20,D-DRL,0.912296
rl,Spread,C21,HCMAGRL,0.667253
rl,Spread,C21,DDQN,0.0
rl,Spread,C21,EDQN,0.70645
rl,Spread,C21,SAC,0.0
rl,Spread,C21,D-DRL,0.733582
rl,Spread,C22,HCMAGRL,0.261944
rl,Spread,C22,DDQN,0.437552
rl,Spread,C22,EDQN,0.437552
rl,Spread,C22,SAC,0.94157
rl,Spread,C22,D-DRL,0.687515
rl,Spread,C23,HCMAGRL,0.4735
rl,Spread,C23,DDQN,0.0
rl,Spread,C23,EDQN,0.782564
rl,Spread,C23,SAC,0.94414
rl,Spread,C23,D-DRL,0.575691
rl,Spread,C24,HCMAGRL,0.716631
rl,Spread,C24,DDQN,0.921173
rl,Spread,C24,EDQN,0.777119
rl,Spread,C24,SAC,0.920511
rl,Spread,C24,D-DRL,0.309691
rl,Spread,C25,HCMAGRL,0.426201
rl,Spread,C25,DDQN,0.0
rl,Spread,C25,EDQN,0.0
rl,Spread,C25,SAC,0.787665
rl,Spread,C25,D-DRL,0.788163
rl,Spread,C26,HCMAGRL,0.780794
rl,Spread,C26,DDQN,0.757147
rl,Spread,C26,EDQN,0.705958
rl,Spread,C26,SAC,0.844827
rl,Spread,C26,D-DRL,0.668862
rl,Spread,C27,HCMAGRL,0.65575
rl,Spread,C27,DDQN,0.810806
rl,Spread,C27,EDQN,0.704951
rl,Spread,C27,SAC,0.702012
rl,Spread,C27,D-DRL,0.82481
rl,HV,C1,HCMAGRL,0.926193
rl,HV,C1,DDQN,0.773979
rl,HV,C1,EDQN,0.773979
rl,HV,C1,SAC,0.84846
rl,HV,C1,D-DRL,0.86203
rl,HV,C2,HCMAGRL,0.944935
rl,HV,C2,DDQN,0.716045
rl,HV,C2,EDQN,0.730508
rl,HV,C2,SAC,0.706919
rl,HV,C2,D-DRL,0.741447
rl,HV,C3,HCMAGRL,0.991626
rl,HV,C3,DDQN,0.453792
rl,HV,C3,EDQN,0.566859
rl,HV,C3,SAC,0.6512
rl,HV,C3,D-DRL,0.647349
rl,HV,C4,HCMAGRL,0.995821
rl,HV,C4,DDQN,0.641789
rl,HV,C4,EDQN,0.597274
