method,instance_id,alpha_t,alpha_c,makespan_mean,makespan_std,cost_mean,cost_std,n_seeds,cid,makespan_norm,cost_norm,score,rank
D-DRL,M12_A15_R4_J2,0.75,0.25,739.175,85.20847284765313,1008.2,160.29630458359884,20,C25,1.0,0.6981595092024543,0.9245398773006136,8.0
D-DRL,M12_A15_R4_J2,1.0,0.0,710.7,59.80469186937298,1038.5,116.23229916172635,20,C25,0.8781370754525121,0.575710271620356,0.8781370754525121,6.0
D-DRL,M12_A15_R6_J3,0.0,1.0,842.5916666666666,41.00803925604994,1289.9,193.98016719025142,20,C26,0.8673113276137847,0.9100444444444447,0.9100444444444447,7.0
D-DRL,M12_A15_R6_J3,0.25,0.75,861.5833333333334,48.69971540678402,1241.35,187.26431503148302,20,C26,0.987293601651187,0.8074162679425835,0.8523856013697343,8.0
D-DRL,M12_A15_R6_J3,0.5,0.5,875.35,44.58000561445453,1343.75,167.48287422269402,20,C26,1.0,0.8788377644250557,0.9394188822125278,9.0
D-DRL,M12_A15_R6_J3,0.75,0.25,855.825,56.14609897245369,1279.15,219.76764643835236,20,C26,0.9302840909090915,0.3677943166441137,0.789661647342847,7.0
D-DRL,M12_A15_R6_J3,1.0,0.0,861.7833333333334,82.21161007065464,1501.7,232.20206717426095,20,C26,1.0,0.8639773531493278,1.0,9.0
D-DRL,M12_A15_R8_J4,0.0,1.0,1855.2083333333333,180.65354774502902,2311.85,433.63473290195213,20,C27,0.019530876694970844,0.29475045679443224,0.29475045679443224,8.0
D-DRL,M12_A15_R8_J4,0.25,0.75,1952.6916666666664,164.6944741329882,2246.15,440.9331343269276,20,C27,0.05166098698914756,0.22876310645103964,0.18448757658556664,7.0
D-DRL,M12_A15_R8_J4,0.5,0.5,1913.1499999999996,133.0805597377655,2201.95,470.9061226144649,20,C27,0.019946392022899818,0.20861801398714142,0.11428220300502062,5.0
D-DRL,M12_A15_R8_J4,0.75,0.25,1846.1666666666665,194.22632544811225,2177.15,373.0311508087283,20,C27,0.05480493488400051,0.16009210837798868,0.08112672825749756,6.0
D-DRL,M12_A15_R8_J4,1.0,0.0,2040.8666666666663,184.60461621391102,2181.55,407.922267491969,20,C27,0.22783871435539788,0.05307022379010048,0.22783871435539788,7.0
D-DRL,M12_A9_R4_J2,0.0,1.0,646.475,88.1158573292316,1101.95,224.93518949618405,20,C19,0.6801882470534343,0.9592420803315901,0.9592420803315901,8.0
D-DRL,M12_A9_R4_J2,0.25,0.75,668.1916666666666,87.44840207983098,1140.95,242.99674570053946,20,C19,1.0,0.9418501332806791,0.9563875999605094,8.0
D-DRL,M12_A9_R4_J2,0.5,0.5,634.8416666666666,78.2707565468059,1113.2,179.81030940527594,20,C19,0.7644152355367934,0.7820612165827199,0.7732382260597566,8.0
D-DRL,M12_A9_R4_J2,0.75,0.25,642.5833333333333,70.46710277214054,1042.3,207.70046752601763,20,C19,0.8207752782750836,0.6602784134248664,0.7806510620625292,8.0
D-DRL,M12_A9_R4_J2,1.0,0.0,672.375,66.90267162647716,1353.95,277.272899011634,20,C19,0.8802165382522269,0.8678773619586796,0.8802165382522269,7.0
D-DRL,M12_A9_R6_J3,0.0,1.0,912.0,62.050182483203265,1567.1,304.280843266459,20,C20,1.0,1.0,1.0,9.0
D-DRL,M12_A9_R6_J3,0.25,0.75,876.1333333333334,58.28287542024216,1445.7,276.0263336026208,20,C20,0.9900270961914807,0.8373060310350344,0.875486297324146,6.0
D-DRL,M12_A9_R6_J3,0.5,0.5,883.8166666666666,57.3317752746272,1509.1,245.72447128740293,20,C20,0.9709922623308445,0.8811445749596393,0.9260684186452419,8.0
D-DRL,M12_A9_R6_J3,0.75,0.25,881.0916666666666,56.80343338091149,1443.35,248.5404287773764,20,C20,0.9719118091211113,0.8047408179213336,0.9301190613211668,8.0
D-DRL,M12_A9_R6_J3,1.0,0.0,927.3916666666667,81.56114333639016,1859.45,361.03498518331406,20,C20,1.0,0.8652440920398011,1.0,9.0
D-DRL,M12_A9_R8_J4,0.0,1.0,1740.075,190.72702911360767,1350.3,276.7931205412218,20,C21,0.40382236994666537,0.43486792452830175,0.43486792452830175,7.0
D-DRL,M12_A9_R8_J4,0.25,0.75,1777.2,217.40869294046612,1323.55,322.47814695442213,20,C21,0.4223804975289678,0.39993889398105714,0.4055492948680348,6.0
D-DRL,M12_A9_R8_J4,0.5,0.5,1803.0916666666665,234.39791275915397,1255.45,263.9759707963866,20,C21,0.6595149535819044,0.35252690292410843,0.5060209282530064,5.0
D-DRL,M12_A9_R8_J4,0.75,0.25,1753.4666666666665,164.4790517954557,1299.45,296.8945364762943,20,C21,0.5457052797478329,0.22218373285298618,0.4648248930241212,5.0
D-DRL,M12_A9_R8_J4,1.0,0.0,1819.4583333333333,168.35361936997614,1579.8,222.42434550580165,20,C21,0.7158525210981133,0.6061035190823478,0.7158525210981133,7.0
D-DRL,M4_A3_R4_J2,0.0,1.0,1130.3916666666667,48.645822110145595,475.6,63.21259035150646,20,C1,1.0,1.0,1.0,9.0
D-DRL,M4_A3_R4_J2,0.25,0.75,1118.7333333333333,43.79475655548713,461.65,71.59996692148604,20,C1,1.0,1.0,1.0,9.0
D-DRL,M4_A3_R4_J2,0.5,0.5,1101.1,57.93478891030724,445.75,65.85380538898664,20,C1,1.0,1.0,1.0,9.0
D-DRL,M4_A3_R4_J2,0.75,0.25,1085.4916666666666,56.74173240135014,430.75,88.16842435153062,20,C1,0.9915823177029538,1.0,0.9936867382772153,9.0
