family,method,avg_rank,k_methods,n_blocks,friedman_chi2,friedman_p,nemenyi_cd,gap_to_best,separated
ablation,HCMAGRL,2.5296296296296297,5,135,17.29974064468295,0.0016901705378290564,0.5250038447830998,0.0,False
ablation,w/o EdgeAttn,3.0074074074074075,5,135,17.29974064468295,0.0016901705378290564,0.5250038447830998,0.47777777777777786,False
ablation,w/o Graph,3.0444444444444443,5,135,17.29974064468295,0.0016901705378290564,0.5250038447830998,0.5148148148148146,False
ablation,w/o Hierarchy,3.140740740740741,5,135,17.29974064468295,0.0016901705378290564,0.5250038447830998,0.6111111111111112,True
ablation,w/o Heterogeneity,3.2777777777777777,5,135,17.29974064468295,0.0016901705378290564,0.5250038447830998,0.748148148148148,True
baseline,HCMAGRL,1.1037037037037036,5,135,261.4772036474163,2.1910874234283813e-55,0.5250038447830998,0.0,False
baseline,D-DRL,3.214814814814815,5,135,261.4772036474163,2.1910874234283813e-55,0.5250038447830998,2.111111111111111,True
baseline,EDQN,3.2666666666666666,5,135,261.4772036474163,2.1910874234283813e-55,0.5250038447830998,2.162962962962963,True
baseline,DDQN,3.651851851851852,5,135,261.4772036474163,2.1910874234283813e-55,0.5250038447830998,2.5481481481481483,True
baseline,SAC,3.762962962962963,5,135,261.4772036474163,2.1910874234283813e-55,0.5250038447830998,2.6592592592592594,True
all,HCMAGRL,2.6333333333333333,9,135,703.0353976814827,1.5892972623392553e-146,1.0339999999999998,0.0,False
all,w/o Graph,3.1925925925925926,9,135,703.0353976814827,1.5892972623392553e-146,1.0339999999999998,0.5592592592592593,False
all,w/o Hierarchy,3.22962962962963,9,135,703.0353976814827,1.5892972623392553e-146,1.0339999999999998,0.5962962962962965,False
all,w/o EdgeAttn,3.2666666666666666,9,135,703.0353976814827,1.5892972623392553e-146,1.0339999999999998,0.6333333333333333,False
all,w/o Heterogeneity,3.462962962962963,9,135,703.0353976814827,1.5892972623392553e-146,1.0339999999999998,0.8296296296296295,False
all,EDQN,7.029629629629629,9,135,703.0353976814827,1.5892972623392553e-146,1.0339999999999998,4.3962962962962955,True
all,D-DRL,7.051851851851852,9,135,703.0353976814827,1.5892972623392553e-146,1.0339999999999998,4.418518518518519,True
all,DDQN,7.474074074074074,9,135,703.0353976814827,1.5892972623392553e-146,1.0339999999999998,4.84074074074074,True
all,SAC,7.659259259259259,9,135,703.0353976814827,1.5892972623392553e-146,1.0339999999999998,5.025925925925925,True
