method,instance_id,M,A,R,J,op_types,sec_per_episode,steps_mean
w/o Hierarchy,M4_A5_R6_J3,4,5,6,3,18,3.7403490839968434,135.3305
w/o Hierarchy,M4_A5_R8_J4,4,5,8,4,32,10.80752046440146,252.0695
w/o Hierarchy,M8_A6_R4_J2,8,6,4,2,8,1.3777685489947908,57.84
w/o Hierarchy,M8_A6_R6_J3,8,6,6,3,18,5.431792548400117,167.843
w/o Hierarchy,M8_A6_R8_J4,8,6,8,4,32,11.544239883197704,253.6905
w/o Hierarchy,M8_A8_R4_J2,8,8,4,2,8,1.774324753003195,71.1235
w/o Hierarchy,M8_A8_R6_J3,8,8,6,3,18,5.697951165206963,172.708
w/o Hierarchy,M8_A8_R8_J4,8,8,8,4,32,15.274433548602508,299.768
w/o Hierarchy,M8_A10_R4_J2,8,10,4,2,8,2.1746375600032044,89.263
w/o Hierarchy,M8_A10_R6_J3,8,10,6,3,18,4.14644191539823,136.253
w/o Hierarchy,M8_A10_R8_J4,8,10,8,4,32,14.390644112001405,295.844
w/o Hierarchy,M12_A9_R4_J2,12,9,4,2,8,2.415271491794847,92.159
w/o Hierarchy,M12_A9_R6_J3,12,9,6,3,18,4.992760289002443,147.664
w/o Hierarchy,M12_A9_R8_J4,12,9,8,4,32,14.269590728800976,265.7835
w/o Hierarchy,M12_A12_R4_J2,12,12,4,2,8,3.251264975801343,81.199
w/o Hierarchy,M12_A12_R6_J3,12,12,6,3,18,6.869309922999703,149.7415
w/o Hierarchy,M12_A12_R8_J4,12,12,8,4,32,13.475037133601262,248.702
w/o Hierarchy,M12_A15_R4_J2,12,15,4,2,8,2.8309971238013825,87.1145
w/o Hierarchy,M12_A15_R6_J3,12,15,6,3,18,6.794050385598559,164.2395
w/o Hierarchy,M12_A15_R8_J4,12,15,8,4,32,13.66966002619965,256.593
w/o Heterogeneity,M4_A3_R4_J2,4,3,4,2,8,2.0351723909981083,67.993
w/o Heterogeneity,M4_A3_R6_J3,4,3,6,3,18,7.498743237201008,139.076
w/o Heterogeneity,M4_A3_R8_J4,4,3,8,4,32,18.808639674999867,250.818
w/o Heterogeneity,M4_A4_R4_J2,4,4,4,2,8,2.4234854061993536,59.065
w/o Heterogeneity,M4_A4_R6_J3,4,4,6,3,18,8.77893783300044,157.263
w/o Heterogeneity,M4_A4_R8_J4,4,4,8,4,32,19.69734904419817,258.0505
w/o Heterogeneity,M4_A5_R4_J2,4,5,4,2,8,2.535711524598184,60.395
w/o Heterogeneity,M4_A5_R6_J3,4,5,6,3,18,7.855604192400933,138.2175
w/o Heterogeneity,M4_A5_R8_J4,4,5,8,4,32,19.636816014800687,256.724
w/o Heterogeneity,M8_A6_R4_J2,8,6,4,2,8,2.6478187169972807,57.9245
