machine_id,old_module,new_module,start_time,end_time,duration
0,None,0,0.0,39.8333,39.8333
1,None,0,0.0,39.8333,39.8333
1,0,1,681.8333,757.1667,75.3333
2,None,0,0.0,39.8333,39.8333
2,0,1,663.8333,739.1667,75.3333
3,None,1,0.0,42.0,42.0
