episode,makespan_mean,cost_mean
294,946.3333,248.75
295,927.625,203.0
296,930.625,203.0
297,983.375,386.0
298,940.3333,248.75
299,1273.2083,923.5
300,1191.4167,927.75
301,1103.0,714.0
302,1035.25,530.25
303,939.0833,294.5
304,939.2917,263.5
305,949.7917,356.5
306,950.625,248.75
307,955.0833,253.0
308,930.3333,279.75
309,936.7917,263.5
310,942.0417,324.0
311,1133.7083,701.0
312,942.375,203.0
313,957.0417,217.75
314,952.5833,203.0
315,934.125,248.75
316,934.0417,217.75
317,948.75,248.75
318,925.9167,232.5
319,927.125,232.5
320,939.3333,325.5
321,918.2917,217.75
322,947.5417,279.75
323,931.0833,263.5
324,941.7917,294.5
325,939.2917,279.75
326,947.25,325.5
327,943.0417,340.25
328,967.2917,371.25
329,954.7917,338.75
330,931.0833,234.0
331,941.3333,248.75
332,943.7917,309.25
333,939.2917,278.25
334,924.7917,232.5
335,960.2917,340.25
336,952.5417,279.75
337,944.0417,307.75
338,966.6667,325.5
339,944.8333,263.5
340,942.0833,263.5
341,939.5833,248.75
342,943.375,355.0
343,940.2917,279.75
344,936.5833,234.0
345,935.5,248.75
346,928.875,248.75
347,935.5,263.5
348,945.0417,278.25
349,969.875,386.0
350,936.2917,247.25
351,938.0417,294.5
352,948.7917,309.25
353,936.5417,203.0
354,936.8333,232.5
355,956.8333,232.5
356,972.0417,340.25
357,1004.1667,337.75
358,946.3333,248.75
359,939.0417,262.0
360,930.0833,294.5
361,950.0,371.25
362,944.7083,323.5
363,947.4167,263.0
364,932.7917,217.75
365,934.2917,232.5
366,944.5833,279.75
367,943.5417,340.25
368,947.25,310.75
369,947.25,310.75
370,943.2917,340.25
371,947.0417,324.0
372,947.0417,310.75
373,939.2917,248.75
374,947.25,310.75
375,930.5417,263.5
376,933.625,293.0
377,950.0,327.0
378,932.8333,276.75
379,928.3333,217.75
380,933.7917,263.5
381,931.2917,294.5
382,918.9167,203.0
383,934.0833,247.75
384,936.375,203.0
385,945.3333,263.5
386,971.5833,393.25
387,945.2917,340.25
388,925.375,217.75
389,942.7917,325.5
390,947.25,340.25
391,956.25,340.25
392,952.3333,325.5
393,951.75,355.0
394,958.5,340.25
395,952.5,309.25
396,944.5,309.25
397,950.0,356.5
398,949.5417,324.0
399,947.25,340.25
400,947.25,340.25
401,942.5417,325.5
402,950.0,371.25
403,980.0833,371.25
404,945.25,279.75
405,960.2917,325.5
406,953.7917,355.0
407,950.0,386.0
408,947.25,310.75
409,943.5,248.75
410,947.25,340.25
411,924.3333,263.5
412,947.25,340.25
413,930.5833,232.5
414,933.0417,294.5
415,947.7917,355.0
416,938.2917,279.75
417,940.7917,279.75
418,917.375,203.0
419,943.0417,263.5
420,957.5417,325.5
421,945.0417,309.25
422,944.5,294.5
423,938.0417,248.75
424,961.5,355.0
425,940.8333,232.5
426,929.625,217.75
427,933.375,248.75
428,940.2917,310.75
429,932.125,248.75
430,947.25,325.5
431,925.5833,248.75
432,954.125,232.5
433,936.0417,265.0
434,921.625,232.5
435,967.0417,307.0
436,946.8333,282.5
437,943.5417,325.5
438,947.25,296.0
439,957.0833,340.25
440,937.0,248.75
441,939.5417,309.25
442,931.5833,294.5
443,947.25,340.25
444,949.7917,356.5
445,951.75,355.0
446,944.2917,278.25
447,945.5417,294.5
448,954.5,356.5
449,920.3333,217.75
450,941.875,203.0
451,929.3333,203.0
452,934.8333,248.75
453,936.0417,248.75
454,941.625,248.75
455,939.5417,294.5
456,949.25,265.0
457,941.75,234.0
458,941.75,248.75
459,943.75,248.75
460,949.7917,248.75
461,937.5417,248.75
462,934.125,203.0
463,938.2917,217.75
464,934.0833,279.75
465,942.0417,296.0
466,934.0417,234.0
467,943.2917,278.25
468,950.0,327.0
469,928.0833,248.75
470,952.0,310.75
471,936.25,248.75
472,939.2917,279.75
473,944.5,279.75
474,944.5,279.75
475,959.75,203.0
476,930.5833,234.0
477,932.125,203.0
478,941.0833,203.0
479,939.0833,203.0
480,934.3333,217.75
481,932.0417,234.0
482,950.0,327.0
483,942.5417,203.0
484,937.8333,265.0
485,939.2917,294.5
486,950.0,341.75
487,945.8333,248.75
488,941.0833,279.75
489,920.4167,203.0
490,934.5833,294.5
491,931.2917,232.5
492,950.0,341.75
493,941.75,309.25
494,943.9583,278.25
495,935.5,263.5
496,944.5,294.5
497,933.5417,278.25
498,943.2917,279.75
499,944.5,279.75
500,937.8333,309.25
